Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
A Rule-Based Ontology Reasoning System for Context-Aware Building Energy Management,J. Han; Y. -K. Jeong; I. Lee,"Department of Smart and Green Life Research, Electronics and Telecommunications Research Institute (ETRI), Daejeon, Republic of Korea; Department of Smart and Green Life Research, Electronics and Telecommunications Research Institute (ETRI), Daejeon, Republic of Korea; Department of Smart and Green Life Research, Electronics and Telecommunications Research Institute (ETRI), Daejeon, Republic of Korea","2015 IEEE International Conference on Computer and Information Technology; Ubiquitous Computing and Communications; Dependable, Autonomic and Secure Computing; Pervasive Intelligence and Computing",28-Dec-15,2015,,,2134,2142,"Global energy demand grows rapidly. The building sector accounts for about 20% of world's energy consumption. Intelligent and systematic energy management technologies have been increasingly exploited to reduce the energy use in the building sector. Previous studies used their own decision model including knowledge-bases and rules. However, they are lack of a structural framework for organizing information and a form of knowledge representation as a set of concepts in the building energy domain. To enhance a framework and knowledge representation, we adopt ontology. Furthermore, ontology can provide reasoning functionality and context-awareness. We propose a rule-based ontology reasoning system that provides context-awareness. In the proposed system, we design an ontology model for building energy management and make reasoning rules from the knowledge-bases of accumulated building energy saving measures. The proposed system detects energy waste context and provides energy saving measures to eliminate the energy waste context. We implemented the proposed system on a real office building. The implemented ontology reasoning system diagnoses the context of the target building and presents the energy saving measures simultaneously. By use of building energy simulation, the amount of energy saving is estimated when the energy saving measures are applied. The simulation result shows the positive effect of our proposed rule-based ontology reasoning system.",,978-1-5090-0154-5,10.1109/CIT/IUCC/DASC/PICOM.2015.317,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7363363,Context-Aware;Ontology;Reasoning;Energy Saving;Building Energy Management,Ontologies;Context;Buildings;Cognition;Context modeling;Energy management;Knowledge based systems,,9,,17,IEEE,28-Dec-15,26-28 Oct. 2015,26-28 Oct. 2015,IEEE,IEEE Conferences
Semi-Automatic Ontology Development Framework for Building Energy Data Management,Z. Pan; Y. Gao; F. Ponci; A. Monti,"Institute for Automation of Complex Power Systems, E.ON Energy Research Center, RWTH Aachen University, Aachen, Germany; Institute for Automation of Complex Power Systems, E.ON Energy Research Center, RWTH Aachen University, Aachen, Germany; Institute for Automation of Complex Power Systems, E.ON Energy Research Center, RWTH Aachen University, Aachen, Germany; Institute for Automation of Complex Power Systems, E.ON Energy Research Center, RWTH Aachen University, Aachen, Germany",IEEE Access,17-Oct-23,2023,11,,111991,112003,"With the ongoing digital transformation and multi-domain interaction occurring in the buildings, a huge amount of heterogeneous data is generated and stored on a daily basis. To take advantage of the gathered data and help better decision makings, suitable methods are needed to meet the demand for building operations and reinvestment planning. Ontology, which provides not only the vocabulary of a certain domain but also the relationship between each other has been used in multiple engineering fields to manage heterogeneous data. A plethora of ontology development methodologies have been developed in the last decade, whereas those methods are still really time-consuming and in a low degree of automation. In this paper, we approach the problem by first presenting a semi-automatic ontology development framework that integrates existing automatic ontology tools and reuses existing ontology and data model. Based on this framework, we create a building energy management ontology and evaluate the data coverage of several real-life data sets.",2169-3536,,10.1109/ACCESS.2023.3323335,"Deutsche Forschungsgemeinschaft (DFG, German Research Foundation)(grant numbers:501865131); German Federal Government; German State Government; Joint Science Conference (GWK) for support as part of the National Research Data Infrastructure for the Interdisciplinary Energy System Research (NFDI4Energy) Consortium; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10274906,Building energy management;data management;data model;ontology,Ontologies;Data models;Unified modeling language;OWL;Merging;Resource description framework;Object oriented modeling;Buildings;Energy management;Database systems;Smart buildings,,12,,79,CCBY,10-Oct-23,2023,,IEEE,IEEE Journals
Research Hotspots and Trends in Green and Low-carbon Building Management Based on Bibliometrics,L. Xia; W. He; L. Xu; L. Wang,"State Grid Energy Research Institute Management Consulting Institute, Beijing, China; State Grid Energy Research Institute Management Consulting Institute, Beijing, China; State Grid Energy Research Institute Management Consulting Institute, Beijing, China; State Grid Energy Research Institute Management Consulting Institute, Beijing, China",2025 4th International Conference on Green Energy and Power Systems (ICGEPS),20-Jun-25,2025,,,437,440,"Building green and low-carbon buildings is an important means to promote carbon reduction in the construction industry. By analyzing the published literature on green and low-carbon building management, it is possible to clarify the key issues that need to be addressed in each period, and to serve the high-level management of buildings under carbon emission reduction targets. This article uses CiteSpace software to analyze literature on the topics of “green”, “low-carbon”, and “architecture” published in CNKI from 2015 to 2024, and constructs a knowledge graph of green and low-carbon building research. Research has found that the main research institutions for green and low-carbon building management are universities and design institutes. The most frequently mentioned keywords are architectural design, low-carbon concept, carbon emissions, low-carbon concept, application, low-carbon economy, low-carbon energy conservation, and building energy conservation. It is recommended to popularize the concept of green and low-carbon buildings, strengthen the construction of green and low-carbon buildings from the design source, and promote the technology and mode of green and low-carbon building management.",,979-8-3315-1032-9,10.1109/ICGEPS65133.2025.11034533,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11034533,architecture;low-carbon;bibliometrics;engineering management,Green buildings;Databases;Architecture;Buildings;Energy conservation;Bibliometrics;Carbon dioxide;Computer architecture;Market research;Low carbon economy,,,,10,IEEE,20-Jun-25,11-13 April 2025,11-13 April 2025,IEEE,IEEE Conferences
Knowledge-based intelligent energy management using building automation system,H. Wicaksono; S. Rogalski; E. Kusnady,"Intelligent Systems and Production Engineering/ Process and Data Management in Engineering, FZI-Research Center for Information Technologies, Karlsruhe, Germany; Intelligent Systems and Production Engineering/ Process and Data Management in Engineering, FZI-Research Center for Information Technologies, Karlsruhe, Germany; Intelligent Systems and Production Engineering/ Process and Data Management in Engineering, FZI-Research Center for Information Technologies, Karlsruhe, Germany",2010 Conference Proceedings IPEC,20-Jan-11,2010,,,1140,1145,"The rise of energy needs and energy prices due to shortage of energy resources force companies and households to consume energy more efficiently. In recent years building automation systems are commonly used to allow better comfort for the occupants, and also to improve security in the building. This paper describes an approach for improving energy efficiency in private and business buildings by utilizing building automation systems. The goal of the approach is to provide an intelligent system that can help the occupants to monitor and control their energy consumption and also to notice their energy saving potentials. This paper also introduces method of knowledge-driven energy analysis that offers more intelligent mechanism as improvement of classical data-driven analysis, which is commonly used by existing energy analysis solutions.",1947-1270,978-1-4244-7398-4,10.1109/IPECON.2010.5696994,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5696994,energy management;building automation system;data mining;ontologies;knowledge based system,Buildings;Home appliances;Energy consumption;Ontologies;Automation;Knowledge based systems;Data mining,,30,,13,IEEE,20-Jan-11,27-29 Oct. 2010,27-29 Oct. 2010,IEEE,IEEE Conferences
Semantic Models for Buildings Energy Management,O. Vyshnevskyy; L. Zhuravchak,"Software Department of Institute of Computer Science and Information Technologies, Lviv Polytechnic National University, Bandery street 12, Lviv, Ukraine; Software Department of Institute of Computer Science and Information Technologies, Lviv Polytechnic National University, Bandery street 12, Lviv, Ukraine",2023 IEEE 18th International Conference on Computer Science and Information Technologies (CSIT),27-Nov-23,2023,,,1,4,"The use of semantic models in building energy has been investigated. Energy management systems commonly consist of heterogeneous systems where it is highly desired to collect and manage challenging information uniformly. Throughout a building’s existence, a variety of data formats are available for the interchange of building-related information. The new ontology has been created to standardize building data management to address these issues. A semantic model for building energy management systems, taking into multiple domain relations, has been constructed. The proposed ontology’s implementation has been made.",2766-3639,979-8-3503-6046-2,10.1109/CSIT61576.2023.10324108,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10324108,ontology;semantic modeling;energy;buildings,Computer science;Semantics;Energy conservation;Tariffs;Ontologies;Data models;Information technology,,3,,10,IEEE,27-Nov-23,19-21 Oct. 2023,19-21 Oct. 2023,IEEE,IEEE Conferences
Ontology-based abstraction layer for smart grid interaction in building energy management systems,D. Schachinger; W. Kastner; S. Gaida,"Institute of Computer Aided Automation, TU Wien, Vienna, Austria; Institute of Computer Aided Automation, TU Wien, Vienna, Austria; Institute of Computer Aided Automation, TU Wien, Vienna, Austria",2016 IEEE International Energy Conference (ENERGYCON),18-Jul-16,2016,,,1,6,"Replacing traditional power grids by future smart grids opens manifold opportunities for energy-efficient operation of buildings and cities as well as improved coordination of energy demand and supply. Current information and communication technology provides a suitable basis for the bidirectional flow of information between buildings and other smart grid stakeholders. However, a common notion of shared knowledge is essential in order to unify heterogeneous grid environments, incorporate information of smart grid participants, and process this information in building energy management. In this work, an abstraction layer based on an OWL ontology is presented that enables semantic representation of knowledge for interaction between building energy management systems and smart grids. A well-proven methodology is used to develop this ontology. Furthermore, the ontology application into building energy management systems and smart grid environments is illustrated, and the functional capabilities of this approach are shown.",,978-1-4673-8463-6,10.1109/ENERGYCON.2016.7513991,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7513991,Energy management;information technology;knowledge representation;smart grids,Ontologies;Smart grids;Buildings;Energy management;Semantics;Protocols;Stakeholders,,27,,18,IEEE,18-Jul-16,4-8 April 2016,4-8 April 2016,IEEE,IEEE Conferences
Enhancing Digital Continuity and Interoperability in Building Energy Management: A Digital Twin Approach with Large Language Models *,F. Ababsa; Z. Zheng; E. Yahya; E. Farazdaghi; R. El Meouche; S. Marie,"PIMM Laboratory, ENSAM, France; PIMM and ESTP; LISPEN, ENSAM, France; ESTP, France; ESTP, France; Schneider Electrics, France","2025 11th International Conference on Control, Decision and Information Technologies (CoDIT)",14-Jan-26,2025,1,,113,118,"In the field of building energy management, the heterogeneity of data arising from the coexistence of multiple standards and ontologies, such as Building Energy Management (BEM) and Building Management Systems (BMS), presents a critical obstacle to achieving efficient, interoperable, and continuous digital twins (DTs). These systems produce disparate and often semantically incompatible data, impeding seamless integration and hindering the realization of holistic energy management strategies. To overcome these challenges, advanced data structuring and AI-based strategies are imperative to ensure semantic interoperability and uninterrupted data continuity across heterogeneous systems. This paper introduces a novel approach for constructing a unified ontology that harmonizes BEM and BMS standards, enabling the seamless fusion of their datasets within a digital twin architecture. By leveraging the capabilities of Large Language Models (LLMs), we enrich the semantic structuring process, facilitating automated and precise reconciliation of heterogeneous data sources. Experimental results underscore the viability and efficacy of the proposed methodology in maintaining robust interoperability and ensuring digital continuity, thereby enhancing the operational efficiency of digital twins for smart building energy management.",2576-3555,979-8-3315-0338-3,10.1109/CoDIT66093.2025.11321508,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11321508,,Large language models;Semantics;Tagging;Ontologies;Metadata;Digital twins;Energy management;Interoperability;Standards;Building management systems,,,,25,IEEE,14-Jan-26,15-18 July 2025,15-18 July 2025,IEEE,IEEE Conferences
Ontology-based generation of optimization problems for building energy management,D. Schachinger; W. Kastner,"TU Wien, Institute of Computer Aided Automation, Vienna, Austria; TU Wien, Institute of Computer Aided Automation, Vienna, Austria",2017 22nd IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),8-Jan-18,2017,,,1,8,"In general, a trade-off between comfort satisfaction and minimization of energy consumption or overall costs needs to be found by building energy management systems. Additionally, the design of energy management strategies often requires high effort and expert knowledge in order to model the dynamics within a building, which leads to very specific solutions with limited reuse. Thus, this work presents an approach for the automatic generation of optimization problems for building energy management based on machine-readable semantics. For this purpose, an ontology hosts all relevant information necessary for the optimization problem formulation. Information extraction and transformation into the optimization problem domain are addressed. Moreover, a case study demonstrates the functionality of the proposed procedure.",1946-0759,978-1-5090-6505-9,10.1109/ETFA.2017.8247565,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8247565,Building automation;energy management;energy efficiency;optimization;ontology;semantics,Buildings;Ontologies;Optimization;Energy management;Data mining;Semantics;Sensors,,8,,25,IEEE,8-Jan-18,12-15 Sept. 2017,12-15 Sept. 2017,IEEE,IEEE Conferences
An approach for knowledge cloud service using ontology-based BEMS,T. Kim; Y. -K. Jeong; I. -W. Lee,"Smart Green Life research Department, Electronic and Telecommunications Research Institute, Daejeon, Republic of Korea; Smart Green Life research Department, Electronic and Telecommunications Research Institute, Daejeon, Republic of Korea; Smart Green Life research Department, Electronic and Telecommunications Research Institute, Daejeon, Republic of Korea",2014 International Conference on Information and Communication Technology Convergence (ICTC),15-Dec-14,2014,,,806,807,"Preparing for the energy crisis, many research and development are underway to reduce the energy consumption and consume the energy more efficiently. BEMS (Building Energy Management System) is one of the essential technologies for saving the energy in the field of building. Commonly, existing BEMS is operated and controlled by the system operators or energy experts manually and also provides limited services that are dependent on the particular environment. To solve this limitation, this paper describes an approach for knowledge cloud service using ontology-based BEMS.",2162-1241,978-1-4799-6786-5,10.1109/ICTC.2014.6983295,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6983295,BEMS;BAS;Buildng Energy;Ontology;Expert System;Knowledge based System;Knowlede Cloud,Buildings;Energy management;Clouds;Context;Energy consumption;Ontologies;Cloud computing,,4,,7,IEEE,15-Dec-14,22-24 Oct. 2014,22-24 Oct. 2014,IEEE,IEEE Conferences
"Aligning Tag-Based Building Operating Systems with RealEstateCore Ontology for Interoperability, Digital Twin Knowledge Graphs and Energy Management",P. Juhlin; M. Kleefisch; C. Steinmetz; G. Stomberg; M. Schlöder; E. Fokken; P. Bauer,"ABB AG Corporate Research Center Germany, Mannheim, Germany; RWTH Aachen University, Aachen, Germany; ABB AG Corporate Research Center Germany, Mannheim, Germany; ABB AG Corporate Research Center Germany, Mannheim, Germany; ABB AG Corporate Research Center Germany, Mannheim, Germany; ABB AG Corporate Research Center Germany, Mannheim, Germany; ABB AG Corporate Research Center Germany, Mannheim, Germany",2025 IEEE International Conference on Knowledge Graph (ICKG),26-Feb-26,2025,,,170,177,"Smart buildings collect and integrate information from various building systems towards operational and energy efficiency. In addition, they are also seen to play an important role in decarbonization as well as for providing health benefits to occupants. Information integration requires meaningful information exchange among multiple vendor systems within the facility. The RealEstateCore (REC) ontology based on the Resource Description Framework (RDF) has been developed to enable semantic interoperability across different vendor systems in the building domain. However, leveraging the ontology for existing tag-based systems such as ABB openBOS (Building Operating System) is not automatic. In this paper, we describe the alignment of tagbased openBOS ontology with REC based on extending REC to openBOS+. The corresponding digital twin knowledge graph in Microsoft Azure Digital Twins and related API developments enable interoperable information integration with other systems based on REC. A Model Predictive Control (MPC) application enabled using openBOS+ for building energy management is described towards improving energy performance.",,979-8-3315-6689-0,10.1109/ICKG66886.2025.00029,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11391759,building operating system;RealEstateCore;Brick;building digital twin;interoperability;cross-vendor collaboration;energy management system;model predictive control,Smart buildings;Operating systems;Semantics;Knowledge graphs;Ontologies;Resource description framework;Digital twins;Interoperability;Information exchange;Predictive control,,,,55,IEEE,26-Feb-26,13-14 Nov. 2025,13-14 Nov. 2025,IEEE,IEEE Conferences
